Scholia Number,image urn
1,"urn:cite:episteme:dorv301img.euc010@0.8467,0.1531,0.0661,0.0359"
2,"urn:cite:episteme:dorv301img.euc010@0.8467,0.1953,0.0661,0.0359"
3,"urn:cite:episteme:dorv301img.euc010@0.8537,0.2453,0.0421,0.0359"
4,"urn:cite:episteme:dorv301img.euc010@0.8557,0.3094,0.0471,0.0391"
5,"urn:cite:episteme:dorv301img.euc010@0.8427,0.3688,0.0541,0.0594"
6,"urn:cite:episteme:dorv301img.euc010@0.8397,0.4391,0.0481,0.0453"
7,"urn:cite:episteme:dorv301img.euc010@0.8357,0.4844,0.0591,0.0359"
8,"urn:cite:episteme:dorv301img.euc010@0.8397,0.5813,0.0601,0.1063"
9,"urn:cite:episteme:dorv301img.euc010@0.8297,0.6906,0.0551,0.0609"
10,"urn:cite:episteme:dorv301img.euc010@0.7525,0.7625,0.1082,0.1781"
11,"urn:cite:episteme:dorv301img.euc010@0.6834,0.8047,0.0701,0.1141"
12,"urn:cite:episteme:dorv301img.euc011@0.6443,0.0813,0.0711,0.1063"
13,"urn:cite:episteme:dorv301img.euc011@0.7044,0.0953,0.0491,0.0594"
14,"urn:cite:episteme:dorv301img.euc011@0.7585,0.0828,0.0351,0.0906"
15,"urn:cite:episteme:dorv301img.euc011@0.8457,0.1766,0.0531,0.0844"
16,"urn:cite:episteme:dorv301img.euc011@0.8257,0.4,0.0802,0.0875"
17,"urn:cite:episteme:dorv301img.euc011@0.8146,0.4719,0.0952,0.1203"
18,"urn:cite:episteme:dorv301img.euc011@0.8036,0.6266,0.0982,0.0703"
19,"urn:cite:episteme:dorv301img.euc011@0.8176,0.7016,0.0772,0.1281"
20,"urn:cite:episteme:dorv301img.euc011@0.7806,0.8031,0.1132,0.0641"
21,"urn:cite:episteme:dorv301img.euc011@0.6633,0.7969,0.1343,0.1281"
22,"urn:cite:episteme:dorv301img.euc011@0.6453,0.7703,0.0521,0.1063"
23,"urn:cite:episteme:dorv301img.euc011@0.6192,0.7625,0.0301,0.1281"
24,"urn:cite:episteme:dorv301img.euc011@0.5792,0.8453,0.0511,0.0672"
25,"urn:cite:episteme:dorv301img.euc011@0.5772,0.7906,0.0341,0.0578"
26,"urn:cite:episteme:dorv301img.euc011@0.519,0.75,0.0711,0.1438"
27,"urn:cite:episteme:dorv301img.euc012@0.3467,0.0844,0.0701,0.0969"
28,"urn:cite:episteme:dorv301img.euc012@0.2846,0.0906,0.0591,0.0922"
29,"urn:cite:episteme:dorv301img.euc012@0.1403,0.1109,0.0952,0.1516"
30,"urn:cite:episteme:dorv301img.euc012@0.1784,0.2828,0.0551,0.1781"
31,"urn:cite:episteme:dorv301img.euc012@0.1433,0.3984,0.0912,0.2094"
32,"urn:cite:episteme:dorv301img.euc012@0.2856,0.7594,0.1253,0.175"
33,"urn:cite:episteme:dorv301img.euc012@0.6493,0.1,0.0581,0.0828"
34,"urn:cite:episteme:dorv301img.euc012@0.6794,0.7703,0.1222,0.1609"
35,"urn:cite:episteme:dorv301img.euc012@0.5701,0.7547,0.1062,0.1469"
36,"urn:cite:episteme:dorv301img.euc013@0.3447,0.0953,0.1212,0.0969"
37,"urn:cite:episteme:dorv301img.euc013@0.1313,0.3875,0.1032,0.2266"
38,"urn:cite:episteme:dorv301img.euc013@0.1743,0.7828,0.1202,0.1469"
39,"urn:cite:episteme:dorv301img.euc013@0.6333,0.7469,0.0922,0.125"
40,"urn:cite:episteme:dorv301img.euc013@0.5341,0.7328,0.0721,0.125"
41,"urn:cite:episteme:dorv301img.euc014@0.6266,0.7467,0.0761,0.1536"
42,"urn:cite:episteme:dorv301img.euc016@0.2124,0.7854,0.1333,0.1431"
43,"urn:cite:episteme:dorv301img.euc017@0.1523,0.7516,0.0641,0.1153"
44,"urn:cite:episteme:dorv301img.euc017@0.8357,0.4269,0.0501,0.0795"
45,"urn:cite:episteme:dorv301img.euc017@0.524,0.7776,0.1383,0.1266"
46,"urn:cite:episteme:dorv301img.euc018@0.8158,0.423,0.0701,0.0924"
47,"urn:cite:episteme:dorv301img.euc018@0.6947,0.7715,0.1121,0.1118"
48,"urn:cite:episteme:dorv301img.euc019@0.1101,0.5775,0.0921,0.1123"
49,"urn:cite:episteme:dorv301img.euc019@0.7938,0.2516,0.1201,0.106"
50,"urn:cite:episteme:dorv301img.euc020@0.1061,0.6693,0.1091,0.1392"
51,"urn:cite:episteme:dorv301img.euc020@0.7868,0.3861,0.0831,0.0839"
52,"urn:cite:episteme:dorv301img.euc021@0.1321,0.2516,0.0931,0.1313"
53,"urn:cite:episteme:dorv301img.euc021@0.1381,0.5918,0.0731,0.0965"
54,"urn:cite:episteme:dorv301img.euc021@0.7908,0.4462,0.1031,0.1994"
55,"urn:cite:episteme:dorv301img.euc021@0.6176,0.8022,0.0911,0.0633"
56,"urn:cite:episteme:dorv301img.euc021@0.5185,0.7864,0.0801,0.0744"
57,"urn:cite:episteme:dorv301img.euc022@0.7818,0.2168,0.1341,0.1313"
58,"urn:cite:episteme:dorv301img.euc023@0.1231,0.3449,0.1051,0.1313"
59,"urn:cite:episteme:dorv301img.euc023@0.6206,0.7627,0.0911,0.125"
60,"urn:cite:episteme:dorv301img.euc024@0.1421,0.2073,0.0631,0.0918"
61,"urn:cite:episteme:dorv301img.euc024@0.1461,0.443,0.0691,0.0744"
62,"urn:cite:episteme:dorv301img.euc024@0.1241,0.7373,0.0891,0.1171"
63,"urn:cite:episteme:dorv301img.euc024@0.8018,0.1804,0.0561,0.0965"
64,"urn:cite:episteme:dorv301img.euc024@0.7868,0.3877,0.1111,0.1123"
65,"urn:cite:episteme:dorv301img.euc024@0.8088,0.7184,0.0761,0.0965"
66,"urn:cite:episteme:dorv301img.euc024@0.7848,0.8196,0.0771,0.1076"
67,"urn:cite:episteme:dorv301img.euc025@0.1091,0.0839,0.1221,0.1899"
68,"urn:cite:episteme:dorv301img.euc025@0.1061,0.3687,0.1181,0.2326"
69,"urn:cite:episteme:dorv301img.euc025@0.1972,0.7437,0.1972,0.1566"
70,"urn:cite:episteme:dorv301img.euc026@0.1682,0.2306,0.0781,0.1501"
71,"urn:cite:episteme:dorv301img.euc026@0.1502,0.3886,0.0841,0.1327"
72,"urn:cite:episteme:dorv301img.euc026@0.1542,0.7251,0.3023,0.1216"
73,"urn:cite:episteme:dorv301img.euc029@0.2172,0.7981,0.1031,0.0962"
74,"urn:cite:episteme:dorv301img.euc029@0.6627,0.8423,0.1411,0.0978"
75,"urn:cite:episteme:dorv301img.euc029@0.5225,0.7713,0.1502,0.1073"
76,"urn:cite:episteme:dorv301img.euc030@0.1191,0.1685,0.1061,0.1228"
77,"urn:cite:episteme:dorv301img.euc030@0.1311,0.778,0.1972,0.1008"
78,"urn:cite:episteme:dorv301img.euc032@0.7828,0.2346,0.1261,0.1669"
79,"urn:cite:episteme:dorv301img.euc032@0.7888,0.5748,0.1031,0.1669"
80,"urn:cite:episteme:dorv301img.euc032@0.5255,0.7449,0.3093,0.1291"
81,"urn:cite:episteme:dorv301img.euc034@0.1081,0.2166,0.1181,0.1258"
82,"urn:cite:episteme:dorv301img.euc034@0.1081,0.3424,0.1171,0.1529"
83,"urn:cite:episteme:dorv301img.euc034@0.2122,0.7484,0.0901,0.1497"
84,"urn:cite:episteme:dorv301img.euc034@0.2973,0.7532,0.0851,0.121"
85,"urn:cite:episteme:dorv301img.euc034@0.3794,0.7516,0.0711,0.1354"
86,"urn:cite:episteme:dorv301img.euc034@0.4464,0.75,0.0571,0.0987"
87,"urn:cite:episteme:dorv301img.euc036@0.1051,0.3201,0.1231,0.1981"
88,"urn:cite:episteme:dorv301img.euc036@0.6527,0.7496,0.1161,0.1284"
89,"urn:cite:episteme:dorv301img.euc037@0.4765,0.2184,0.049,0.0854"
90,"urn:cite:episteme:dorv301img.euc038@0.3083,0.8244,0.1071,0.0807"
91,"urn:cite:episteme:dorv301img.euc038@0.8018,0.4209,0.1071,0.1566"
92,"urn:cite:episteme:dorv301img.euc039@0.1231,0.3785,0.0901,0.1293"
93,"urn:cite:episteme:dorv301img.euc040@0.1582,0.7587,0.1181,0.0931"
94,"urn:cite:episteme:dorv301img.euc040@0.6056,0.8186,0.1111,0.0962"
95,"urn:cite:episteme:dorv301img.euc040@0.7127,0.8391,0.1141,0.0773"
96,"urn:cite:episteme:dorv301img.euc040@0.7858,0.4211,0.1251,0.1719"
97,"urn:cite:episteme:dorv301img.euc041@0.1031,0.2148,0.1181,0.1492"
98,"urn:cite:episteme:dorv301img.euc041@0.2362,0.8295,0.1261,0.0541"
99,"urn:cite:episteme:dorv301img.euc041@0.7898,0.3279,0.1121,0.1967"
100,"urn:cite:episteme:dorv301img.euc042@0.1041,0.6318,0.1071,0.1735"
101,"urn:cite:episteme:dorv301img.euc042@0.2422,0.766,0.1291,0.1571"
102,"urn:cite:episteme:dorv301img.euc042@0.6917,0.7921,0.1121,0.126"
103,"urn:cite:episteme:dorv301img.euc042@0.7888,0.3388,0.1171,0.1849"
104,"urn:cite:episteme:dorv301img.euc043@0.1251,0.7741,0.1201,0.1538"
105,"urn:cite:episteme:dorv301img.euc043@0.2553,0.8249,0.2462,0.0753"
106,"urn:cite:episteme:dorv301img.euc043@0.7908,0.2881,0.1201,0.1408"
107,"urn:cite:episteme:dorv301img.euc044@0.1612,0.7892,0.2903,0.1029"
108,"urn:cite:episteme:dorv301img.euc044@0.5896,0.8235,0.2523,0.085"
109,"urn:cite:episteme:dorv301img.euc044@0.8198,0.4248,0.046,0.2353"
110,"urn:cite:episteme:dorv301img.euc044@0.7878,0.3137,0.1281,0.1405"
111,"urn:cite:episteme:dorv301img.euc045@0.1101,0.2974,0.1181,0.1275"
112,"urn:cite:episteme:dorv301img.euc045@0.3544,0.7876,0.1141,0.116"
113,"urn:cite:episteme:dorv301img.euc045@0.5265,0.7827,0.3003,0.1242"
114,"urn:cite:episteme:dorv301img.euc045@0.7888,0.1879,0.1211,0.2484"
115,"urn:cite:episteme:dorv301img.euc046@0.2743,0.7663,0.1171,0.1095"
116,"urn:cite:episteme:dorv301img.euc046@0.7918,0.5163,0.1101,0.1552"
117,"urn:cite:episteme:dorv301img.euc047@0.1052,0.2271,0.1062,0.1928"
118,"urn:cite:episteme:dorv301img.euc047@0.2836,0.7614,0.1493,0.1454"
119,"urn:cite:episteme:dorv301img.euc047@0.496,0.2059,0.0521,0.2876"
120,"urn:cite:episteme:dorv301img.euc047@0.6403,0.7925,0.1854,0.1176"
121,"urn:cite:episteme:dorv301img.euc047@0.7996,0.6618,0.1132,0.134"
122,"urn:cite:episteme:dorv301img.euc047@0.8026,0.482,0.0962,0.1209"
123,"urn:cite:episteme:dorv301img.euc047@0.7926,0.1258,0.0912,0.1324"
124,"urn:cite:episteme:dorv301img.euc048@0.0922,0.152,0.0701,0.0882"
125,"urn:cite:episteme:dorv301img.euc048@0.1573,0.1585,0.0571,0.0899"
126,"urn:cite:episteme:dorv301img.euc048@0.0972,0.2484,0.0651,0.0719"
127,"urn:cite:episteme:dorv301img.euc048@0.1543,0.2549,0.0531,0.0817"
128,"urn:cite:episteme:dorv301img.euc048@0.1002,0.3056,0.1052,0.0866"
129,"urn:cite:episteme:dorv301img.euc048@0.1062,0.3987,0.0621,0.0833"
130,"urn:cite:episteme:dorv301img.euc048@0.1503,0.3954,0.0631,0.0735"
131,"urn:cite:episteme:dorv301img.euc048@0.1092,0.4788,0.0681,0.0931"
132,"urn:cite:episteme:dorv301img.euc048@0.1673,0.4837,0.0621,0.0915"
133,"urn:cite:episteme:dorv301img.euc048@0.1122,0.5588,0.0741,0.0882"
134,"urn:cite:episteme:dorv301img.euc048@0.1673,0.5703,0.0671,0.0752"
135,"urn:cite:episteme:dorv301img.euc048@0.1242,0.6405,0.0772,0.0768"
136,"urn:cite:episteme:dorv301img.euc048@0.3066,0.7908,0.0802,0.0817"
137,"urn:cite:episteme:dorv301img.euc048@0.7856,0.6601,0.1202,0.1209"
138,"urn:cite:episteme:dorv301img.euc049@0.1383,0.25,0.0942,0.1356"
139,"urn:cite:episteme:dorv301img.euc049@0.1032,0.6275,0.1142,0.1422"
140,"urn:cite:episteme:dorv301img.euc052@0.5321,0.7504,0.1984,0.0995"
141,"urn:cite:episteme:dorv301img.euc052@0.7265,0.7537,0.1894,0.0783"
142,"urn:cite:episteme:dorv301img.euc053@0.6954,0.772,0.1152,0.1026"
143,"urn:cite:episteme:dorv301img.euc053@0.8116,0.7818,0.1012,0.0977"
144,"urn:cite:episteme:dorv301img.euc053@0.7846,0.3876,0.1032,0.1678"
145,"urn:cite:episteme:dorv301img.euc054@0.2866,0.7403,0.1743,0.1607"
146,"urn:cite:episteme:dorv301img.euc054@0.5511,0.7532,0.2725,0.1153"
147,"urn:cite:episteme:dorv301img.euc054@0.7846,0.5584,0.1012,0.1315"
148,"urn:cite:episteme:dorv301img.euc056@0.7788,0.5283,0.0971,0.1971"
149,"urn:cite:episteme:dorv301img.euc057@0.1022,0.7472,0.1683,0.0912"
150,"urn:cite:episteme:dorv301img.euc059@0.7655,0.712,0.1403,0.1552"
151,"urn:cite:episteme:dorv301img.euc060@0.1022,0.2045,0.1263,0.1885"
152,"urn:cite:episteme:dorv301img.euc060@0.5551,0.7524,0.0962,0.0783"
153,"urn:cite:episteme:dorv301img.euc060@0.6483,0.7652,0.1012,0.0719"
154,"urn:cite:episteme:dorv301img.euc061@0.1263,0.6715,0.0902,0.0973"
155,"urn:cite:episteme:dorv301img.euc061@0.1573,0.7544,0.0902,0.1005"
156,"urn:cite:episteme:dorv301img.euc061@0.7705,0.5678,0.0992,0.1627"
157,"urn:cite:episteme:dorv301img.euc061@0.7705,0.3397,0.1042,0.2026"
158,"urn:cite:episteme:dorv301img.euc067@0.6627,0.827,0.1221,0.1079"
159,"urn:cite:episteme:dorv301img.euc067@0.7678,0.6032,0.1071,0.1714"
160,"urn:cite:episteme:dorv301img.euc067@0.7598,0.2302,0.0941,0.1349"
161,"urn:cite:episteme:dorv301img.euc068@0.1832,0.7765,0.1622,0.1347"
162,"urn:cite:episteme:dorv301img.euc068@0.7107,0.7036,0.1712,0.1363"
163,"urn:cite:episteme:dorv301img.euc070@0.1131,0.3705,0.0731,0.0852"
164,"urn:cite:episteme:dorv301img.euc070@0.1181,0.4869,0.0741,0.0689"
165,"urn:cite:episteme:dorv301img.euc070@0.1131,0.5754,0.0701,0.0852"
166,"urn:cite:episteme:dorv301img.euc070@0.1181,0.6721,0.0941,0.0934"
167,"urn:cite:episteme:dorv301img.euc070@0.1281,0.7607,0.0901,0.1049"
168,"urn:cite:episteme:dorv301img.euc070@0.6296,0.741,0.1021,0.1492"
169,"urn:cite:episteme:dorv301img.euc070@0.7107,0.7508,0.0801,0.1082"
170,"urn:cite:episteme:dorv301img.euc070@0.7678,0.6115,0.1061,0.1443"
171,"urn:cite:episteme:dorv301img.euc070@0.7708,0.2738,0.0911,0.041"
172,"urn:cite:episteme:dorv301img.euc071@0.1131,0.1429,0.1121,0.1527"
173,"urn:cite:episteme:dorv301img.euc071@0.1331,0.2677,0.0671,0.0788"
174,"urn:cite:episteme:dorv301img.euc071@0.3293,0.7471,0.1562,0.1494"
175,"urn:cite:episteme:dorv301img.euc071@0.6336,0.7553,0.1091,0.1429"
176,"urn:cite:episteme:dorv301img.euc075@0.1141,0.6244,0.1151,0.1933"
177,"urn:cite:episteme:dorv301img.euc075@0.6827,0.7607,0.0721,0.1506"
178,"urn:cite:episteme:dorv301img.euc075@0.7568,0.7274,0.1241,0.168"
179,"urn:cite:episteme:dorv301img.euc075@0.7728,0.1727,0.1181,0.1902"
180,"urn:cite:episteme:dorv301img.euc080@0.1291,0.7952,0.3524,0.1032"
181,"urn:cite:episteme:dorv301img.euc081@0.1171,0.5968,0.1101,0.1556"
182,"urn:cite:episteme:dorv301img.euc081@0.1161,0.7302,0.1461,0.1651"
183,"urn:cite:episteme:dorv301img.euc081@0.2893,0.7444,0.1572,0.1317"
184,"urn:cite:episteme:dorv301img.euc081@0.5195,0.8222,0.0631,0.0714"
185,"urn:cite:episteme:dorv301img.euc081@0.6176,0.8349,0.0651,0.0698"
186,"urn:cite:episteme:dorv301img.euc081@0.7758,0.1921,0.1291,0.1556"
187,"urn:cite:episteme:dorv301img.euc081@0.6106,0.0841,0.2392,0.1206"
188,"urn:cite:episteme:dorv301img.euc081@0.4985,0.1238,0.1011,0.1"
189,"urn:cite:episteme:dorv301img.euc083@0.7938,0.7095,0.0651,0.146"
190,"urn:cite:episteme:dorv301img.euc084@0.0991,0.3123,0.1161,0.2603"
191,"urn:cite:episteme:dorv301img.euc084@0.5175,0.7713,0.3243,0.142"
192,"urn:cite:episteme:dorv301img.euc085@0.7848,0.3354,0.046,0.0918"
193,"urn:cite:episteme:dorv301img.euc085@0.8198,0.2785,0.0811,0.1392"
194,"urn:cite:episteme:dorv301img.euc086@0.5796,0.0976,0.1632,0.115"
195,"urn:cite:episteme:dorv301img.euc087@0.7658,0.1193,0.1361,0.1083"
196,"urn:cite:episteme:dorv301img.euc088@0.7535,0.6688,0.1443,0.0754"
197,"urn:cite:episteme:dorv301img.euc090@0.2503,0.7875,0.1421,0.0741"
198,"urn:cite:episteme:dorv301img.euc090@0.4024,0.7759,0.1151,0.0824"
199,"urn:cite:episteme:dorv301img.euc090@0.5375,0.1153,0.1371,0.0758"
200,"urn:cite:episteme:dorv301img.euc090@0.6907,0.0956,0.1872,0.0758"
201,"urn:cite:episteme:dorv301img.euc090@0.7788,0.2372,0.0501,0.1565"
202,"urn:cite:episteme:dorv301img.euc090@0.8248,0.2504,0.0611,0.1367"
203,"urn:cite:episteme:dorv301img.euc091@0.7928,0.3744,0.1181,0.1067"
204,"urn:cite:episteme:dorv301img.euc092@0.1623,0.098,0.2114,0.0817"
205,"urn:cite:episteme:dorv301img.euc095@0.7758,0.391,0.0781,0.0582"
